#########################################
########### BUTE COLINTRAIVE ############
#########################################

-- locations
# ID, Name, Lat, Lng
22,Colintraive,55.923353,-5.152758
23,Rhubodach,55.920670,-5.158880

-- route
# Type, SourceLocationId, DestinationLocationId, ServiceId
1,22,23,4
1,23,22,4

#########################################
############### SUMMER ##################
#########################################

#########################################
## MON - FRI
#########################################
-- calendar
# StartDate, EndDate, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
2014-04-04,2014-10-26,1,1,1,1,1,0,0

-- trips
#route lookup
1,22,23,4
# Depart, Arrive
0530,0535
0600,0605
0630,0635
0700,0705
0730,0735
0750,0755
0810,0815
0830,0835
0900,0905
0930,0935
0955,1000
1015,1020
1035,1040
1100,1105
1130,1135
1200,1205
1230,1235
1300,1305
1330,1335
1410,1415
1430,1435
1500,1505
1530,1535
1605,1610
1630,1635
1650,1655
1710,1715
1730,1735
1750,1755
1810,1815
1830,1835
1900,1905
1930,1935
2000,2005
2030,2035
2055,2100

-- trips
#route lookup
1,23,22,4
# Depart, Arrive
0540,0545
0610,0615
0640,0645
0710,0715
0740,0745
0800,0805
0820,0825
0840,0845
0910,0915
0940,0945
1005,1010
1025,1030
1045,1050
1110,1115
1140,1145
1210,1215
1240,1245
1310,1315
1340,1345
1420,1425
1440,1445
1510,1515
1540,1545
1615,1620
1640,1645
1700,1705
1720,1725
1740,1745
1800,1805
1820,1825
1840,1845
1910,1915
1940,1945
2010,2015
2040,2045
2100,2105

#########################################
## SAT
#########################################
-- calendar
# StartDate, EndDate, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
2014-04-04,2014-10-26,0,0,0,0,0,1,0

-- trips
#route lookup
1,22,23,4
# Depart, Arrive
0530,0535
0600,0605
0630,0635
0700,0705
0730,0735
0800,0805
0830,0835
0900,0905
0930,0935
1000,1005
1030,1035
1100,1105
1130,1135
1200,1205
1230,1235
1300,1305
1330,1335
1400,1405
1430,1435
1500,1505
1530,1535
1600,1605
1630,1635
1700,1705
1730,1735
1800,1805
1830,1835
1900,1905
1930,1935
2000,2005
2030,2035
2055,2100

-- trips
#route lookup
1,23,22,4
# Depart, Arrive
0540,0545
0610,0615
0640,0645
0710,0715
0740,0745
0810,0815
0840,0845
0910,0915
0940,0945
1010,1015
1040,1045
1110,1115
1140,1145
1210,1215
1240,1245
1310,1315
1340,1345
1410,1415
1440,1445
1510,1515
1540,1545
1610,1615
1640,1645
1710,1715
1740,1745
1810,1815
1840,1845
1910,1915
1940,1945
2010,2015
2040,2045
2100,2105

#########################################
## SUN
#########################################
-- calendar
# StartDate, EndDate, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
2014-04-04,2014-10-26,0,0,0,0,0,0,1

-- trips
#route lookup
1,22,23,4
# Depart, Arrive
0830,0835
0900,0905
0930,0935
1000,1005
1030,1035
1100,1105
1130,1135
1200,1205
1230,1235
1300,1305
1330,1335
1400,1405
1430,1435
1500,1505
1530,1535
1600,1605
1630,1635
1700,1705
1730,1735
1800,1805
1830,1835
1900,1905
1930,1935
2000,2005
2030,2035
2055,2100

-- trips
#route lookup
1,23,22,4
# Depart, Arrive
0840,0845
0910,0915
0940,0945
1010,1015
1040,1045
1110,1115
1140,1145
1210,1215
1240,1245
1310,1315
1340,1345
1410,1415
1440,1445
1510,1515
1540,1545
1610,1615
1640,1645
1710,1715
1740,1745
1810,1815
1840,1845
1910,1915
1940,1945
2010,2015
2040,2045
2100,2105
